episodio,puntajeTotal,puntajeMean,bestFicha,movimientos,cantMovimientos,epsilon,cumReward
0,220.0,13.75,64.0,138,"{'izquierda': 44, 'derecha': 1, 'arriba': 90, 'abajo': 3}",0.05,-217.625
1,128.0,8.0,32.0,42,"{'izquierda': 24, 'derecha': 1, 'arriba': 13, 'abajo': 4}",0.05,-17.0625
2,266.0,16.625,128.0,95,"{'izquierda': 52, 'derecha': 1, 'arriba': 41, 'abajo': 1}",0.05,-73.875
3,334.0,20.875,128.0,320,"{'izquierda': 113, 'derecha': 6, 'arriba': 197, 'abajo': 4}",0.05,-683.1875
4,234.0,14.625,64.0,125,"{'izquierda': 40, 'derecha': 4, 'arriba': 78, 'abajo': 3}",0.05,-172.5625
5,296.0,18.5,128.0,98,"{'izquierda': 62, 'derecha': 2, 'arriba': 32, 'abajo': 2}",0.05,-61.6875
6,328.0,20.5,128.0,199,"{'izquierda': 65, 'derecha': 3, 'arriba': 129, 'abajo': 2}",0.05,-361.9375
0,134.0,8.375,32.0,82,"{'izquierda': 67, 'derecha': 2, 'arriba': 1, 'abajo': 12}",0.05,-85.0
1,300.0,18.75,128.0,289,"{'izquierda': 205, 'derecha': 55, 'arriba': 9, 'abajo': 20}",0.05,-578.9375
2,306.0,19.125,64.0,243,"{'izquierda': 170, 'derecha': 45, 'arriba': 7, 'abajo': 21}",0.05,-462.1875
3,294.0,18.375,128.0,85,"{'izquierda': 54, 'derecha': 3, 'arriba': 3, 'abajo': 25}",0.05,-15.25
4,242.0,15.125,128.0,208,"{'izquierda': 53, 'derecha': 110, 'arriba': 8, 'abajo': 37}",0.05,-413.25
0,190.0,11.875,64.0,74,"{'izquierda': 35, 'derecha': 33, 'arriba': 2, 'abajo': 4}",0.05,-63.1875
1,270.0,16.875,128.0,108,"{'izquierda': 54, 'derecha': 9, 'arriba': 43, 'abajo': 2}",0.05,-103.5625
2,314.0,19.625,128.0,453,"{'izquierda': 338, 'derecha': 92, 'arriba': 17, 'abajo': 6}",0.05,-1058.9375
3,226.0,14.125,64.0,65,"{'izquierda': 42, 'derecha': 15, 'arriba': 8, 'abajo': 0}",0.05,2.0
4,154.0,9.625,32.0,65,"{'izquierda': 44, 'derecha': 5, 'arriba': 13, 'abajo': 3}",0.05,-60.6875
5,254.0,15.875,64.0,178,"{'izquierda': 160, 'derecha': 7, 'arriba': 7, 'abajo': 4}",0.05,-295.25
6,228.0,14.25,64.0,68,"{'izquierda': 43, 'derecha': 17, 'arriba': 6, 'abajo': 2}",0.05,-27.6875
7,230.0,14.375,64.0,73,"{'izquierda': 68, 'derecha': 2, 'arriba': 0, 'abajo': 3}",0.05,-8.0625
0,266.0,16.625,64.0,141,"{'izquierda': 45, 'derecha': 4, 'arriba': 90, 'abajo': 2}",0.05,-208.75
1,182.0,11.375,32.0,143,"{'izquierda': 33, 'derecha': 2, 'arriba': 102, 'abajo': 6}",0.05,-236.0625
2,166.0,10.375,32.0,80,"{'izquierda': 35, 'derecha': 5, 'arriba': 40, 'abajo': 0}",0.05,-74.9375
3,246.0,15.375,64.0,89,"{'izquierda': 42, 'derecha': 5, 'arriba': 40, 'abajo': 2}",0.05,-70.5
4,256.0,16.0,128.0,68,"{'izquierda': 51, 'derecha': 3, 'arriba': 12, 'abajo': 2}",0.05,-4.9375
5,234.0,14.625,64.0,89,"{'izquierda': 48, 'derecha': 22, 'arriba': 18, 'abajo': 1}",0.05,-56.4375
6,220.0,13.75,128.0,112,"{'izquierda': 45, 'derecha': 4, 'arriba': 62, 'abajo': 1}",0.05,-147.6875
7,168.0,10.5,64.0,78,"{'izquierda': 36, 'derecha': 3, 'arriba': 37, 'abajo': 2}",0.05,-75.3125
8,228.0,14.25,64.0,139,"{'izquierda': 41, 'derecha': 3, 'arriba': 91, 'abajo': 4}",0.05,-197.5625
0,334.0,20.875,128.0,459,"{'izquierda': 394, 'derecha': 6, 'arriba': 56, 'abajo': 3}",0.05,-1173.75
1,584.0,36.5,256.0,440,"{'izquierda': 407, 'derecha': 8, 'arriba': 12, 'abajo': 13}",0.05,-949.3125
